   I        Q 
-849      637 
-372      265 
 425     -106 
 690     -531 
-637      106 
 425     -849 
 425      690 
 690     -956 
 425      637 
 212     1115 
-425     -212 
 690     -372 
 372      -53 
-478      637 
 319     -584 
-372      531 
-690      212 
-212      478 
   0      690 
 637     -903 
-106     -903 
  53      478 
 159     -849 
-637      690 
-159    -1380 
-159      106 
-372     -849 
-637      159 
-584     -212 
-159      478 
-319      159 
 743      796 
-372      265 
   0     -265 
-212      -53 
 849      690 
 743      159 
-319      372 
 372      212 
-319     -478 
 478     -637 
1115     -637 
-159     -531 
-425     -106 
-637     -265 
 584     -584 
 319     1062 
 425      106 
-106      531 
-478      372 
-319      531 
-319      425 
-478      265 
   0       53 
-159      212 
 584      425 
-265     -159 
 425     1274 
-531     -106 
1009     -690 
 106      478 
   0      159 
-212      212 
-265     -425 
-265      106 
-159      106 
 690      956 
 265     -372 
   0     -319 
-531     -478 
-903      690 
 956      265 
 -53      319 
 -53     -372 
-584     1009 
 319     -478 
-478      743 
 478     1115 
-1221     1115 
 212      956 
 106     -212 
 265     -159 
-159     -903 
-1274      796 
-478     -212 
1433      265 
 531      212 
-425      425 
 265      637 
 265      159 
-1274     -478 
-159     -478 
-1062      106 
 584       53 
 478      106 
 796     -903 
1062     -212 
  53      212 
-265       53 
 159        0 
 106     -106 
-106     -372 
-106     -637 
-531      796 
   0      584 
-690      -53 
 159      -53 
 319      265 
 372        0 
 478      796 
 265     -478 
 478     -159 
   0      -53 
-212     -372 
 743     1221 
-956     -106 
-584     -690 
-425    -1009 
 319      319 
-690      106 
   0      319 
 265     -159 
-159       53 
 372     -743 
 319     -265 
1274     -159 
-743       53 
-265       53 
 531      637 
 -53     -159 
-159     -372 
-372      478 
 584      159 
 425      106 
 478     -478 
 106     -637 
-956     -265 
1115      -53 
-425       53 
 319      212 
 849      106 
  53     -106 
 -53     -212 
 372     -584 
-159     1009 
-372    -1115 
-1168    -1062 
-106     -584 
 106      106 
 796      159 
 372      690 
 531     -106 
-106      796 
 743      425 
 478      637 
-159     -690 
  53      743 
-743      106 
-478      -53 
 212     -106 
-425      212 
-106     -319 
 637     1115 
-372      903 
 -53      796 
-584     -372 
