   I        Q 
4.428763e+00 2.048449e+00 
1.567845e+01 -6.648815e+00 
-1.536549e+01 -2.466445e+01 
-1.439029e+01 1.795577e+01 
1.231270e+01 2.076675e+00 
-4.983635e+00 -1.072177e+01 
-2.603130e+00 1.320379e+01 
9.388737e+00 -9.672580e+00 
-1.919562e+00 3.528794e+00 
7.561687e+00 -8.189034e+00 
5.289403e+00 -6.425863e+00 
-4.151727e+00 -2.407277e+01 
-1.734300e+01 2.779889e+00 
-2.281785e-01 -1.023392e+01 
-8.160896e+00 1.052603e+00 
-1.859043e+01 -1.858593e+01 
-1.323423e+01 2.009177e+01 
-1.704822e+01 3.097595e+00 
9.402265e+00 2.763349e+01 
1.279933e+01 2.798310e+00 
1.971427e+01 -5.760670e+00 
2.728422e+00 -3.545993e+01 
-3.441661e+01 4.491002e+00 
3.871382e+00 -3.238284e+00 
-1.431424e+01 7.645929e+00 
-1.245366e+01 1.562945e+01 
4.116667e+01 1.711172e+00 
-2.077937e+01 -1.132606e+01 
2.332435e+01 -2.754968e+01 
-4.035127e+01 -1.434973e+00 
-7.460933e+00 -6.415148e+00 
-9.461605e+00 1.252985e+01 
-1.494329e+01 1.319317e+00 
1.940108e+00 8.421133e+00 
-3.341940e+00 3.764621e+00 
-5.585805e+00 1.324437e+00 
3.874163e+00 -5.516664e+00 
-2.231983e+01 7.311585e+00 
8.660563e+00 4.642178e+00 
-1.323972e+01 -6.706373e+00 
-1.377127e+01 2.485009e+01 
1.787826e+01 -4.810585e+00 
-1.409134e+01 5.800344e+00 
-9.734790e+00 2.051528e+00 
1.061971e+01 3.345674e+01 
2.321145e+01 -1.650041e+01 
-6.622040e+00 -1.425138e+01 
-1.787407e+01 2.166705e-01 
5.739427e+00 1.783829e+01 
-2.875475e+00 -1.487109e+01 
4.938408e+00 1.707035e+01 
-8.895374e+00 -2.323376e+01 
-9.335576e+00 1.647135e+01 
-5.022666e+00 8.300023e+00 
9.228044e+00 1.866941e+00 
-6.083900e+00 3.589944e+00 
1.217269e+00 1.052741e+01 
1.571786e+01 -1.793507e-01 
5.440419e+00 -4.624692e+00 
-3.006690e+00 -2.071722e+01 
-1.498054e+01 1.186216e+00 
-1.604848e+01 1.538981e+01 
2.657166e+01 1.350827e+01 
1.129252e+01 -1.831026e+01 
-9.675304e+00 -2.380149e+01 
-1.476732e+01 5.028986e+00 
6.474056e-01 -1.453328e+01 
-3.420103e+01 2.235944e-01 
9.569301e-01 1.102745e+01 
-2.151812e+01 1.859046e+01 
2.896584e+01 -7.377437e-01 
-2.186928e+01 -4.848915e+00 
-1.232751e+00 2.570685e+00 
-1.146650e+00 6.948108e+00 
-5.479202e+00 -8.288524e+00 
-1.839724e+01 -3.629045e+00 
-1.125124e+01 2.940487e+01 
1.202463e+01 -6.851656e+00 
-1.649985e+01 1.455463e+00 
-1.187847e+01 1.516312e+01 
2.416128e-01 1.219353e+01 
6.932909e+00 1.413519e+01 
-8.593708e+00 -6.594172e+00 
3.786034e+00 2.982437e+01 
1.254195e+01 -8.715843e+00 
-5.817824e+00 7.873836e+00 
1.002829e+01 5.649412e+00 
4.255700e+00 -7.599887e+00 
-1.294110e+01 -5.690941e-01 
7.795732e+00 1.123955e+01 
-1.271835e+01 -1.025587e+01 
2.119518e+00 2.733288e+01 
1.196738e+01 -1.296429e+01 
-1.237578e+01 8.686521e+00 
1.123609e+01 3.270044e-01 
-7.564151e+00 1.836009e+00 
-2.014401e+00 3.497603e+00 
2.264003e+01 1.343789e+01 
-1.233761e+01 -4.315191e+01 
-1.056519e+01 2.185664e+01 
-2.380748e+01 -2.044466e+01 
-1.123373e+01 3.375884e+01 
-5.857047e+00 1.058124e+01 
1.063708e+01 1.647751e+01 
3.785973e+00 3.123007e+00 
-5.036109e-02 7.766812e-01 
5.173023e-01 3.385830e+00 
-8.742552e+00 -2.496282e+00 
-2.202763e+01 1.372996e+01 
8.201456e+00 3.650574e+01 
1.558735e+01 1.747987e+00 
-2.096484e+00 7.582799e+00 
