   I        Q 
1.910484e+01        0 
1.386955e+01        0 
3.323932e+01        0 
1.234486e+01        0 
2.635390e+01        0 
3.258422e+00        0 
2.533294e+01        0 
1.812611e+01        0 
2.677593e+01        0 
2.612329e+01        0 
2.974742e+01        0 
1.413245e+01        0 
2.948659e+00        0 
1.196973e+01        0 
1.107906e+01        0 
2.063352e+01        0 
2.043939e+01        0 
3.452358e+01        0 
4.077796e+01        0 
7.870099e+00        0 
8.996053e+00        0 
1.142987e+01        0 
1.892333e+01        0 
1.026025e+01        0 
5.444109e+00        0 
1.999920e+01        0 
3.008915e+01        0 
1.093749e+01        0 
2.540501e+01        0 
8.387337e+00        0 
1.724162e+01        0 
3.790512e+00        0 
7.730460e+00        0 
6.533455e+00        0 
2.088680e+01        0 
7.635065e+00        0 
3.169117e+00        0 
1.396879e+01        0 
1.505838e+01        0 
2.002396e+01        0 
1.121233e+01        0 
1.800326e+01        0 
1.335975e+01        0 
1.732847e+01        0 
1.258135e+01        0 
2.577799e+01        0 
3.743335e+01        0 
8.751344e+00        0 
2.724680e+01        0 
2.744418e+01        0 
2.550791e+01        0 
2.632964e+01        0 
4.846897e+00        0 
2.354726e+01        0 
1.336761e+01        0 
1.134134e+01        0 
7.835600e+00        0 
7.756685e-01        0 
2.248334e+01        0 
2.309597e+01        0 
1.244818e+01        0 
1.016280e+01        0 
5.306600e+00        0 
1.056786e+01        0 
6.248258e+00        0 
1.389350e+01        0 
1.470380e+01        0 
1.732306e+01        0 
1.339986e+01        0 
7.336166e+00        0 
3.076294e+01        0 
3.148129e+01        0 
1.596546e+01        0 
3.209076e+01        0 
3.828367e+00        0 
1.647800e+01        0 
8.677803e+00        0 
4.043535e+01        0 
3.799503e+01        0 
2.500822e+01        0 
1.551353e+01        0 
8.550184e+00        0 
1.882502e+01        0 
2.386689e+01        0 
1.736445e+01        0 
2.179710e+01        0 
2.995404e+01        0 
1.564000e+01        0 
1.786254e+01        0 
1.207898e+01        0 
9.674534e+00        0 
3.149627e+01        0 
2.822818e+01        0 
2.968496e+01        0 
1.029028e+01        0 
9.782618e+00        0 
1.911675e+01        0 
1.157045e+01        0 
3.014214e+01        0 
8.936427e+00        0 
9.343054e+00        0 
1.979087e+01        0 
2.140346e+01        0 
3.247983e+01        0 
1.576864e+01        0 
1.268837e+01        0 
2.893992e+01        0 
2.356230e+01        0 
1.638295e+01        0 
3.952140e+01        0 
2.556630e+01        0 
3.168175e+01        0 
4.299793e+01        0 
1.269700e+01        0 
1.364907e+01        0 
1.000611e+01        0 
2.470360e+01        0 
1.920441e+01        0 
